金資代號,金融機構名稱,代收國保費,轉帳代繳國保費,網路ATM繳納國保費,網路銀行繳納國保費,行動APP繳納國保費
700,中華郵政,有,有,有,無,有
,統一超商,有,無,無,無,無
,全家便利商店,有,無,無,無,無
,來來超商,有,無,無,無,無
,萊爾富超商,有,無,無,無,無
4,臺灣銀行,有,有,有,有,有
5,土地銀行,有,有,有,有,有
6,合作金庫銀行,有,有,有,有,有
7,第一銀行,有,有,有,有,有
8,華南銀行,有,有,有,有,有
9,彰化銀行,有,有,有,有,有
12,台北富邦,有,有,有,無,無
16,高雄銀行,有,有,有,有,有
17,兆豐銀行,有,有,有,有,有
18,全國農業金庫銀行（含農會、漁會信用部）,有,有,無,無,無
50,臺灣企銀,有,有,有,有,無
808,玉山銀行,有,有,有,有,無
812,台新銀行,有,有,無,無,無
828,中國信託銀行,有,有,無,有,有
13,國泰世華銀行,有,有,無,無,無
101,瑞興銀行,有,有,無,無,無
102,華泰銀行,有,有,無,無,無
103,臺灣新光銀行,有,有,無,無,無
108,陽信銀行,有,有,無,無,無
118,板信銀行,有,有,無,無,無
147,三信銀行,有,有,有,有,無
803,聯邦銀行,有,有,有,無,無
806,元大銀行,有,有,有,有,無
807,永豐銀行,無,有,無,無,無
104,台北市第五信用合作社,有,有,無,無,無
114,基隆第一信用合作社,有,有,無,無,無
115,基隆第二信用合作社,有,有,無,無,無
119,淡水第一信用合作社,有,有,無,無,無
120,新北市淡水信用合作社,有,有,無,無,無
124,宜蘭信用合作社,有,有,無,無,無
127,桃園信用合作社,有,有,無,無,無
130,新竹第一信用合作社,有,有,無,無,無
132,新竹第三信用合作社,有,有,無,無,無
146,台中市第二信用合作社,有,有,無,無,無
158,彰化第一信用合作社,有,有,無,無,無
161,彰化第五信用合作社,有,有,無,無,無
162,彰化第六信用合作社,有,有,無,無,無
163,彰化第十信用合作社,有,有,無,無,無
165,彰化縣鹿港信用合作社,有,有,無,無,無
178,嘉義市第三信用合作社,有,有,無,無,無
204,高雄市第三信用合作社,有,有,無,無,無
215,花蓮第一信用合作社,有,有,無,無,無
216,花蓮第二信用合作社,有,有,無,無,無
222,澎湖第一信用合作社,有,無,無,無,無
224,金門縣信用合作社,有,有,無,無,無
,全國繳費網,有,無,有,有,有
